SonicWALL SKU,Networking/ISG SKUs (TZ500 and above),Partner Software (Nexus/Tracker SKUs) TZ400 and below,Partner Software (Harmony SKUs) TZ400 and below,SonicWALL Product Description ,MSRP (USD),SecureFirst Discount Eligibility,Minimum Advertised Price (MAP),Hardware/Software,Special Requirements,Notes
01-SSC-1717,A9084625,N/A,N/A,SONICWALL SUPERMASSIVE 9200 TOTAL SECURE- ADVANCED EDITION 1YR,43732,Deal Registration Eligible Any Value,CALL FOR PRICE,H,SNWL Authorization Required to Purchase,FIREWALL WITH 1 YEAR ADVANCED GATEWAY SECURITY SUITE(AGSS) BUNDLE 
01-SSC-1718,A9084638,N/A,N/A,SONICWALL SUPERMASSIVE 9400 TOTAL SECURE- ADVANCED EDITION 1YR,56692,Deal Registration Eligible Any Value,CALL FOR PRICE,H,SNWL Authorization Required to Purchase,FIREWALL WITH 1 YEAR ADVANCED GATEWAY SECURITY SUITE(AGSS) BUNDLE 
01-SSC-1719,A9084651,N/A,N/A,SONICWALL SUPERMASSIVE 9600 TOTAL SECURE- ADVANCED EDITION 1YR,64792,Deal Registration Eligible Any Value,CALL FOR PRICE,H,SNWL Authorization Required to Purchase,FIREWALL WITH 1 YEAR ADVANCED GATEWAY SECURITY SUITE(AGSS) BUNDLE 
01-SSC-1720,A9084652,N/A,N/A,SONICWALL SUPERMASSIVE 9600 SECURE UPGRADE PLUS - ADVANCED EDITION 2YR,64792,Deal Registration Eligible Any Value,CALL FOR PRICE,H,0,0
01-SSC-1721,A9084653,N/A,N/A,SONICWALL SUPERMASSIVE 9600 SECURE UPGRADE PLUS - ADVANCED EDITION 3YR,82151,Deal Registration Eligible Any Value,CALL FOR PRICE,H,0,0
01-SSC-1722,A9084639,N/A,N/A,SONICWALL SUPERMASSIVE 9400 SECURE UPGRADE PLUS - ADVANCED EDITION 2YR,56692,Deal Registration Eligible Any Value,CALL FOR PRICE,H,0,0
01-SSC-1723,A9084640,N/A,N/A,SONICWALL SUPERMASSIVE 9400 SECURE UPGRADE PLUS - ADVANCED EDITION 3YR,71881,Deal Registration Eligible Any Value,CALL FOR PRICE,H,0,0
01-SSC-1724,A9084626,N/A,N/A,SONICWALL SUPERMASSIVE 9200 SECURE UPGRADE PLUS - ADVANCED EDITION 2YR,43732,Deal Registration Eligible Any Value,CALL FOR PRICE,H,0,0
01-SSC-1725,A9084627,N/A,N/A,SONICWALL SUPERMASSIVE 9200 SECURE UPGRADE PLUS - ADVANCED EDITION 3YR,55449,Deal Registration Eligible Any Value,CALL FOR PRICE,H,0,0
01-SSC-1726,A9084613,N/A,N/A,SONICWALL NSA 6600 SECURE UPGRADE PLUS - ADVANCED EDITION 2YR,32392,Deal Registration Eligible Any Value,25914,H,0,0
01-SSC-1727,A9084614,N/A,N/A,SONICWALL NSA 6600 SECURE UPGRADE PLUS - ADVANCED EDITION 3YR,41071,Deal Registration Eligible Any Value,32857,H,0,0
01-SSC-1728,A9084600,N/A,N/A,SONICWALL NSA 5600 SECURE UPGRADE PLUS - ADVANCED EDITION 2YR,17812,Deal Registration Eligible Any Value,14250,H,0,0
01-SSC-1729,A9084601,N/A,N/A,SONICWALL NSA 5600 SECURE UPGRADE PLUS - ADVANCED EDITION 3YR,22585,Deal Registration Eligible Any Value,18068,H,0,0
01-SSC-1730,A9084587,N/A,N/A,SONICWALL NSA 4600 SECURE UPGRADE PLUS - ADVANCED EDITION 2YR,9064,Y,7251,H,0,0
01-SSC-1731,A9084588,N/A,N/A,SONICWALL NSA 4600 SECURE UPGRADE PLUS - ADVANCED EDITION 3YR,11493,Y,9194,H,0,0
01-SSC-1732,A9084574,N/A,N/A,SONICWALL NSA 3600 SECURE UPGRADE PLUS - ADVANCED EDITION 2YR,6472,Y,5178,H,0,0
01-SSC-1733,A9084575,N/A,N/A,SONICWALL NSA 3600 SECURE UPGRADE PLUS - ADVANCED EDITION 3YR,8207,Y,6566,H,0,0
01-SSC-1734,A9084561,N/A,N/A,SONICWALL NSA 2600 SECURE UPGRADE PLUS - ADVANCED EDITION 2YR,3739,Y,2991,H,0,0
01-SSC-1735,A9084562,N/A,N/A,SONICWALL NSA 2600 SECURE UPGRADE PLUS - ADVANCED EDITION 3YR,4961,Y,3969,H,0,0
01-SSC-1736,A9194399,N/A,N/A,SONICWALL TZ600 SECURE UPGRADE PLUS - ADVANCED EDITION 2YR,2715,Y,2036,H,0,0
01-SSC-1737,A9194400,N/A,N/A,SONICWALL TZ600 SECURE UPGRADE PLUS - ADVANCED EDITION 3YR,3463,Y,2597,H,0,0
01-SSC-1738,A9194413,N/A,N/A,SONICWALL TZ500 SECURE UPGRADE PLUS - ADVANCED EDITION 2YR,2117,Y,1588,H,0,0
01-SSC-1739,A9194414,N/A,N/A,SONICWALL TZ500 SECURE UPGRADE PLUS - ADVANCED EDITION 3YR,2727,Y,2045,H,0,0
01-SSC-1740,N/A,0,0,SONICWALL TZ400 SECURE UPGRADE PLUS - ADVANCED EDITION 2YR,1474,Y,1106,H,0,0
01-SSC-1741,N/A,A9616245,0,SONICWALL TZ400 SECURE UPGRADE PLUS - ADVANCED EDITION 3YR,2026,Y,1520,H,0,0
01-SSC-1742,N/A,0,0,SONICWALL TZ300 SECURE UPGRADE PLUS - ADVANCED EDITION 2YR,1214,Y,911,H,0,0
01-SSC-1743,N/A,A9616249,0,SONICWALL TZ300 SECURE UPGRADE PLUS - ADVANCED EDITION 3YR,1668,Y,1251,H,0,0
01-SSC-1744,A9194415,N/A,N/A,SONICWALL TZ500 WIRELESS-AC SECURE UPGRADE PLUS - ADVANCED EDITION 2YR,2265,Y,1699,H,US ONLY,0
01-SSC-1745,A9194416,N/A,N/A,SONICWALL TZ500 WIRELESS-AC SECURE UPGRADE PLUS - ADVANCED EDITION 3YR,2888,Y,2166,H,US ONLY,0
01-SSC-1746,N/A,0,0,SONICWALL TZ400 WIRELESS-AC SECURE UPGRADE PLUS - ADVANCED EDITION 2YR,1674,Y,1256,H,US ONLY,0
01-SSC-1747,N/A,0,0,SONICWALL TZ400 WIRELESS-AC SECURE UPGRADE PLUS - ADVANCED EDITION 3YR,2226,Y,1670,H,US ONLY,0
01-SSC-1748,N/A,0,0,SONICWALL TZ300 WIRELESS-AC SECURE UPGRADE PLUS - ADVANCED EDITION 2YR,1374,Y,1031,H,US ONLY,0
01-SSC-1749,N/A,0,0,SONICWALL TZ300 WIRELESS-AC SECURE UPGRADE PLUS - ADVANCED EDITION 3YR,1829,Y,1372,H,US ONLY,0
01-SSC-1752,A9199502,N/A,N/A,SONICWALL TZ500 WIRELESS-AC INTL SECURE UPGRADE PLUS - ADVANCED EDITION 2YR (CANADA ONLY),2265,Y,1699,H,CANADA ONLY,0
01-SSC-1753,A9199503,N/A,N/A,SONICWALL TZ500 WIRELESS-AC INTL SECURE UPGRADE PLUS - ADVANCED EDITION 3YR (CANADA ONLY),2888,Y,2166,H,CANADA ONLY,0
01-SSC-1754,N/A,0,0,SONICWALL TZ400 WIRELESS-AC INTL SECURE UPGRADE PLUS - ADVANCED EDITION 2YR (CANADA ONLY),1674,Y,1256,H,CANADA ONLY,0
01-SSC-1755,N/A,0,0,SONICWALL TZ400 WIRELESS-AC INTL SECURE UPGRADE PLUS - ADVANCED EDITION 3YR (CANADA ONLY),2226,Y,1670,H,CANADA ONLY,0
01-SSC-1756,N/A,0,0,SONICWALL TZ300 WIRELESS-AC INTL SECURE UPGRADE PLUS - ADVANCED EDITION 2YR (CANADA ONLY),1374,Y,1031,H,CANADA ONLY,0
01-SSC-1757,N/A,0,0,SONICWALL TZ300 WIRELESS-AC INTL SECURE UPGRADE PLUS - ADVANCED EDITION 3YR (CANADA ONLY),1829,Y,1372,H,CANADA ONLY,0
01-SSC-1760,N/A,0,0,SMA 200 8X5 SUPPORT FOR UP TO 25USER 1YR,235,Y,235,S,0,0
01-SSC-1761,N/A,0,0,SMA 200 8X5 SUPPORT FOR UP TO 50USER 1YR,355,Y,355,S,0,0
01-SSC-1762,N/A,0,0,SMA 200 8X5 SUPPORT FOR UP TO 25USER 2YR,401,Y,401,S,0,0
01-SSC-1763,N/A,0,0,SMA 200 8X5 SUPPORT FOR UP TO 50USER 2YR,628,Y,628,S,0,0
01-SSC-1764,N/A,0,0,SMA 200 8X5 SUPPORT FOR UP TO 25USER 3YR,568,Y,568,S,0,0
01-SSC-1765,N/A,0,0,SMA 200 8X5 SUPPORT FOR UP TO 50USER 3YR,853,Y,853,S,0,0
01-SSC-1766,N/A,0,0,SMA 400 8X5 SUPPORT FOR UP TO 100USER 1YR,484,Y,484,S,0,0
01-SSC-1767,N/A,0,0,SMA 400 8X5 SUPPORT FOR 101 TO 250USER 1YR,1404,Y,1404,S,0,0
01-SSC-1768,N/A,0,0,SMA 400 8X5 SUPPORT FOR UP TO 100USER 2YR,823,Y,823,S,0,0
01-SSC-1769,N/A,0,0,SMA 400 8X5 SUPPORT FOR 101 TO 250USER 2YR,2478,Y,2478,S,0,0
01-SSC-1770,N/A,0,0,SMA 400 8X5 SUPPORT FOR UP TO 100USER 3YR,1163,Y,1163,S,0,0
01-SSC-1771,N/A,0,0,SMA 400 8X5 SUPPORT FOR 101 TO 250USER 3YR,3222,Y,3222,S,0,0
01-SSC-1775,N/A,0,0,SMA 500V 24X7 SUPPORT FOR UP TO 100USER 1YR,532,Y,532,S,0,"SonicWALL Dynamic Support 24x7 For The SRA Virtual Appliance provides 24x7 phone, email and Web-based Support and firmware updates For Up To 100 User (1 Yr)"
01-SSC-1776,N/A,0,0,SMA 500V 24X7 SUPPORT FOR 101-250USER 1YR,1540,Y,1540,S,0,"SonicWALL Dynamic Support 24x7 For The SRA Virtual Appliance provides 24x7 phone, email and Web-based Support and firmware updates For Up To 101 to 250 User (1 Yr)"
01-SSC-1777,N/A,0,0,SMA 500V 24X7 SUPPORT FOR UP TO 100USER 2YR,900,Y,900,S,0,"SonicWALL Dynamic Support 24x7 For The SRA Virtual Appliance provides 24x7 phone, email and Web-based Support and firmware updates For Up To 100 User (2 Yrs)"
01-SSC-1778,N/A,0,0,SMA 500V 24X7 SUPPORT FOR 101-250USER 2YR,2662,Y,2662,S,0,"SonicWALL Dynamic Support 24x7 For The SRA Virtual Appliance provides 24x7 phone, email and Web-based Support and firmware updates For Up To 101 to 250 User (2 Yr)"
01-SSC-1779,N/A,0,0,SMA 500V 24X7 SUPPORT FOR UP TO 100USER 3YR,1267,Y,1267,S,0,"SonicWALL Dynamic Support 24x7 For The SRA Virtual Appliance provides 24x7 phone, email and Web-based Support and firmware updates For Up To 100 User (3 Yrs)"
01-SSC-1780,N/A,0,0,SMA 500V 24X7 SUPPORT FOR 101-250USER 3YR,3593,Y,3593,S,0,"SonicWALL Dynamic Support 24x7 For The SRA Virtual Appliance provides 24x7 phone, email and Web-based Support and firmware updates For Up To 101 to 250 User (3 Yr)"
01-SSC-1787,N/A,0,0,CAPTURE ADVANCED THREAT PROTECTION FOR TZ300 SERIES 1YR NFR,125,N,94,S,0,Partners may purchase each NFR SKU once per calendar year and may not resell the product until at least one year from date of purchase. Services and support may be renewed on the appliance.
01-SSC-1789,A9228868,N/A,N/A,SONICWALL CAPTURE ADVANCED THREAT PROTECTION FOR TZ500 SERIES 1YR NFR,125,N,94,S,0,Partners may purchase each NFR SKU once per calendar year and may not resell the product until at least one year from date of purchase. Services and support may be renewed on the appliance.
01-SSC-1792,A9228869,N/A,N/A,SONICWALL CAPTURE ADVANCED THREAT PROTECTION FOR NSA 3600 1YR NFR,400,N,320,S,0,Partners may purchase each NFR SKU once per calendar year and may not resell the product until at least one year from date of purchase. Services and support may be renewed on the appliance.
01-SSC-1836,N/A,0,0,CAPTURE FOR HOSTED EMAIL SECURITY AND 24X7 SUPPORT 100U 2YR,496,Y,496,S,0,0
01-SSC-1837,N/A,0,0,CAPTURE FOR HOSTED EMAIL SECURITY AND 24X7 SUPPORT 100U 3YR,683,Y,683,S,0,0
01-SSC-1838,N/A,0,0,CAPTURE FOR HOSTED EMAIL SECURITY AND 24X7 SUPPORT 250U 1YR,620,Y,620,S,0,0
01-SSC-1839,N/A,0,0,CAPTURE FOR HOSTED EMAIL SECURITY AND 24X7 SUPPORT 250U 2YR,1053,Y,1053,S,0,0
01-SSC-1865,N/A,0,0,CAPTURE FOR SNWL TOTALSECURE EMAIL SUBSCRIPTION 250U 1YR,440,Y,440,S,0,0
01-SSC-1866,N/A,0,0,CAPTURE FOR SNWL TOTALSECURE EMAIL SUBSCRIPTION 250U 2YR,748,Y,748,S,0,0
01-SSC-1867,N/A,0,0,CAPTURE FOR SNWL TOTALSECURE EMAIL SUBSCRIPTION 250U 3YR,1056,Y,1056,S,0,0
01-SSC-1868,N/A,0,0,CAPTURE FOR SNWL TOTALSECURE EMAIL SUBSCRIPTION 500U 1YR,718,Y,718,S,0,0
01-SSC-1869,N/A,0,0,CAPTURE FOR SNWL TOTALSECURE EMAIL SUBSCRIPTION 500U 2YR,1222,Y,1222,S,0,0
01-SSC-1870,N/A,0,0,CAPTURE FOR SNWL TOTALSECURE EMAIL SUBSCRIPTION 500U 3YR,1725,Y,1725,S,0,0
01-SSC-1871,N/A,0,0,CAPTURE FOR SNWL TOTALSECURE EMAIL SUBSCRIPTION 750U 1YR,1099,Y,1099,S,0,0
01-SSC-1872,N/A,0,0,CAPTURE FOR SNWL TOTALSECURE EMAIL SUBSCRIPTION 750U 2YR,1868,Y,1868,S,0,0
01-SSC-1873,N/A,0,0,CAPTURE FOR SNWL TOTALSECURE EMAIL SUBSCRIPTION 750U 3YR,2638,Y,2638,S,0,0
01-SSC-1874,N/A,0,0,"CAPTURE FOR SNWL TOTALSECURE EMAIL SUBSCRIPTION 1,000U 1YR",1342,Y,1342,S,0,0
01-SSC-1875,N/A,0,0,"CAPTURE FOR SNWL TOTALSECURE EMAIL SUBSCRIPTION 1,000U 2YR",2283,Y,2283,S,0,0
01-SSC-1876,N/A,0,0,"CAPTURE FOR SNWL TOTALSECURE EMAIL SUBSCRIPTION 1,000U 3YR",3222,Y,3222,S,0,0
01-SSC-1877,N/A,0,0,"CAPTURE FOR SNWL TOTALSECURE EMAIL SUBSCRIPTION 2,000U 1YR",1788,Y,1788,S,0,0
01-SSC-1878,N/A,0,0,"CAPTURE FOR SNWL TOTALSECURE EMAIL SUBSCRIPTION 2,000U 2YR",3039,Y,3039,S,0,0
01-SSC-1879,N/A,0,0,"CAPTURE FOR SNWL TOTALSECURE EMAIL SUBSCRIPTION 2,000U 3YR",4291,Y,4291,S,0,0
01-SSC-1880,N/A,0,0,"CAPTURE FOR SNWL TOTALSECURE EMAIL SUBSCRIPTION 5,000U 1YR",2228,Y,2228,S,0,0
01-SSC-1881,N/A,0,0,"CAPTURE FOR SNWL TOTALSECURE EMAIL SUBSCRIPTION 5,000U 2YR",3787,Y,3787,S,0,0
01-SSC-1882,N/A,0,0,"CAPTURE FOR SNWL TOTALSECURE EMAIL SUBSCRIPTION 5,000U 3YR",5346,Y,5346,S,0,0
01-SSC-1883,N/A,0,0,"CAPTURE FOR SNWL TOTALSECURE EMAIL SUBSCRIPTION 10,000U 1YR",3066,Y,3066,S,0,0
01-SSC-1884,N/A,0,0,"CAPTURE FOR SNWL TOTALSECURE EMAIL SUBSCRIPTION 10,000U 2YR",5211,Y,5211,S,0,0
01-SSC-1885,N/A,0,0,"CAPTURE FOR SNWL TOTALSECURE EMAIL SUBSCRIPTION 10,000U 3YR",7356,Y,7356,S,0,0
01-SSC-1886,N/A,0,0,SONICWALL ADVANCED TOTALSECURE EMAIL SUBSCRIPTION 25U 1YR,1056,Y,1056,S,0,0
01-SSC-1887,N/A,0,0,SONICWALL ADVANCED TOTALSECURE EMAIL SUBSCRIPTION 25U 2YR,1795,Y,1795,S,0,0
01-SSC-1888,N/A,0,0,SONICWALL ADVANCED TOTALSECURE EMAIL SUBSCRIPTION 25U 3YR,2534,Y,2534,S,0,0
01-SSC-1889,N/A,0,0,SONICWALL ADVANCED TOTALSECURE EMAIL SUBSCRIPTION 50U 1YR,1320,Y,1320,S,0,0
01-SSC-1890,N/A,0,0,SONICWALL ADVANCED TOTALSECURE EMAIL SUBSCRIPTION 50U 2YR,2244,Y,2244,S,0,0
01-SSC-1891,N/A,0,0,SONICWALL ADVANCED TOTALSECURE EMAIL SUBSCRIPTION 50U 3YR,3168,Y,3168,S,0,0
01-SSC-1892,N/A,0,0,SONICWALL ADVANCED TOTALSECURE EMAIL SUBSCRIPTION 100U 1YR,1716,Y,1716,S,0,0
01-SSC-1893,N/A,0,0,SONICWALL ADVANCED TOTALSECURE EMAIL SUBSCRIPTION 100U 2YR,2917,Y,2917,S,0,0
01-SSC-1894,N/A,0,0,SONICWALL ADVANCED TOTALSECURE EMAIL SUBSCRIPTION 100U 3YR,4118,Y,4118,S,0,0
01-SSC-1895,N/A,0,0,SONICWALL ADVANCED TOTALSECURE EMAIL SUBSCRIPTION 250U 1YR,2640,Y,2640,S,0,0
01-SSC-1896,N/A,0,0,SONICWALL ADVANCED TOTALSECURE EMAIL SUBSCRIPTION 250U 2YR,4488,Y,4488,S,0,0
01-SSC-1897,N/A,0,0,SONICWALL ADVANCED TOTALSECURE EMAIL SUBSCRIPTION 250U 3YR,6336,Y,6336,S,0,0
01-SSC-1898,N/A,0,0,SONICWALL ADVANCED TOTALSECURE EMAIL SUBSCRIPTION 500U 1YR,4310,Y,4310,S,0,0
01-SSC-1899,N/A,0,0,SONICWALL ADVANCED TOTALSECURE EMAIL SUBSCRIPTION 500U 2YR,7333,Y,7333,S,0,0
01-SSC-1900,N/A,0,0,SONICWALL ADVANCED TOTALSECURE EMAIL SUBSCRIPTION 500U 3YR,10349,Y,10349,S,0,0
01-SSC-1901,N/A,0,0,SONICWALL ADVANCED TOTALSECURE EMAIL SUBSCRIPTION 750U 1YR,6594,Y,6594,S,0,0
01-SSC-1902,N/A,0,0,SONICWALL ADVANCED TOTALSECURE EMAIL SUBSCRIPTION 750U 2YR,11209,Y,11209,S,0,0
01-SSC-1903,N/A,0,0,SONICWALL ADVANCED TOTALSECURE EMAIL SUBSCRIPTION 750U 3YR,15827,Y,15827,S,0,0
01-SSC-1904,N/A,0,0,"SONICWALL ADVANCED TOTALSECURE EMAIL SUBSCRIPTION 1,000U 1YR",8052,Y,8052,S,0,0
01-SSC-1905,N/A,0,0,"SONICWALL ADVANCED TOTALSECURE EMAIL SUBSCRIPTION 1,000U 2YR",13696,Y,13696,S,0,0
01-SSC-1906,N/A,0,0,"SONICWALL ADVANCED TOTALSECURE EMAIL SUBSCRIPTION 1,000U 3YR",19332,Y,19332,S,0,0
01-SSC-1907,N/A,0,0,"SONICWALL ADVANCED TOTALSECURE EMAIL SUBSCRIPTION 2,000U 1YR",10726,Y,10726,S,0,0
01-SSC-1908,N/A,0,0,"SONICWALL ADVANCED TOTALSECURE EMAIL SUBSCRIPTION 2,000U 2YR",18236,Y,18236,S,0,0
01-SSC-1909,N/A,0,0,"SONICWALL ADVANCED TOTALSECURE EMAIL SUBSCRIPTION 2,000U 3YR",25747,Y,25747,S,0,0
01-SSC-1910,N/A,0,0,"SONICWALL ADVANCED TOTALSECURE EMAIL SUBSCRIPTION 5,000U 1YR",13366,Y,13366,S,0,0
01-SSC-1911,N/A,0,0,"SONICWALL ADVANCED TOTALSECURE EMAIL SUBSCRIPTION 5,000U 2YR",22724,Y,22724,S,0,0
01-SSC-1912,N/A,0,0,"SONICWALL ADVANCED TOTALSECURE EMAIL SUBSCRIPTION 5,000U 3YR",32076,Y,32076,S,0,0
01-SSC-1913,N/A,0,0,"SONICWALL ADVANCED TOTALSECURE EMAIL SUBSCRIPTION 10,000U 1YR",18395,Y,18395,S,0,0
01-SSC-1914,N/A,0,0,"SONICWALL ADVANCED TOTALSECURE EMAIL SUBSCRIPTION 10,000U 2YR",31265,Y,31265,S,0,0
01-SSC-1915,N/A,0,0,"SONICWALL ADVANCED TOTALSECURE EMAIL SUBSCRIPTION 10,000U 3YR",44135,Y,44135,S,0,0
01-SSC-2152,N/A,0,0,24X7 SUPPORT FOR SRA EX9000 5 USER 1 YR - STACKABLE,2032,Deal Registration Eligible Any Value,2032,S,0,Stackable Support Licenses for E-Class SRA Appliances
01-SSC-2153,N/A,0,0,24X7 SUPPORT FOR SRA EX9000 5 USER 2 YR - STACKABLE,3454,Deal Registration Eligible Any Value,3454,S,0,Stackable Support Licenses for E-Class SRA Appliances
01-SSC-2154,N/A,0,0,24X7 SUPPORT FOR SRA EX9000 5 USER 3 YR - STACKABLE,4877,Deal Registration Eligible Any Value,4877,S,0,Stackable Support Licenses for E-Class SRA Appliances
01-SSC-2158,N/A,0,0,24X7 SUPPORT FOR SRA EX9000 25 USER 1 YR - STACKABLE,3175,Deal Registration Eligible Any Value,3175,S,0,Stackable Support Licenses for E-Class SRA Appliances
01-SSC-2159,N/A,0,0,24X7 SUPPORT FOR SRA EX9000 25 USER 2 YR - STACKABLE,5080,Deal Registration Eligible Any Value,5080,S,0,Stackable Support Licenses for E-Class SRA Appliances
01-SSC-2160,N/A,0,0,24X7 SUPPORT FOR SRA EX9000 25 USER 3 YR - STACKABLE,6668,Deal Registration Eligible Any Value,6668,S,0,Stackable Support Licenses for E-Class SRA Appliances
01-SSC-2161,N/A,0,0,24X7 SUPPORT FOR SRA EX9000 50 USER 1 YR - STACKABLE,3466,Deal Registration Eligible Any Value,3466,S,0,Stackable Support Licenses for E-Class SRA Appliances
01-SSC-2162,N/A,0,0,24X7 SUPPORT FOR SRA EX9000 50 USER 2 YR - STACKABLE,5546,Deal Registration Eligible Any Value,5546,S,0,Stackable Support Licenses for E-Class SRA Appliances
01-SSC-2163,N/A,0,0,24X7 SUPPORT FOR SRA EX9000 50 USER 3 YR - STACKABLE,7279,Deal Registration Eligible Any Value,7279,S,0,Stackable Support Licenses for E-Class SRA Appliances
01-SSC-2164,N/A,0,0,24X7 SUPPORT FOR SRA EX9000 100 USER 1 YR - STACKABLE,3959,Deal Registration Eligible Any Value,3959,S,0,Stackable Support Licenses for E-Class SRA Appliances
01-SSC-2165,N/A,0,0,24X7 SUPPORT FOR SRA EX9000 100 USER 2 YR - STACKABLE,6730,Deal Registration Eligible Any Value,6730,S,0,Stackable Support Licenses for E-Class SRA Appliances
01-SSC-2166,N/A,0,0,24X7 SUPPORT FOR SRA EX9000 100 USER 3 YR - STACKABLE,9501,Deal Registration Eligible Any Value,9501,S,0,Stackable Support Licenses for E-Class SRA Appliances
01-SSC-2167,N/A,0,0,24X7 SUPPORT FOR SRA EX9000 250 USER 1 YR - STACKABLE,6205,Deal Registration Eligible Any Value,6205,S,0,Stackable Support Licenses for E-Class SRA Appliances
01-SSC-2168,N/A,0,0,24X7 SUPPORT FOR SRA EX9000 250 USER 2 YR - STACKABLE,9928,Deal Registration Eligible Any Value,9928,S,0,Stackable Support Licenses for E-Class SRA Appliances
01-SSC-2169,N/A,0,0,24X7 SUPPORT FOR SRA EX9000 250 USER 3 YR - STACKABLE,13031,Deal Registration Eligible Any Value,13031,S,0,Stackable Support Licenses for E-Class SRA Appliances
01-SSC-2170,N/A,0,0,24X7 SUPPORT FOR SRA EX9000 500 USER 1 YR - STACKABLE,7919,Deal Registration Eligible Any Value,7919,S,0,Stackable Support Licenses for E-Class SRA Appliances
01-SSC-2171,N/A,0,0,24X7 SUPPORT FOR SRA EX9000 500 USER 2 YR - STACKABLE,13462,Deal Registration Eligible Any Value,13462,S,0,Stackable Support Licenses for E-Class SRA Appliances
01-SSC-2172,N/A,0,0,24X7 SUPPORT FOR SRA EX9000 500 USER 3 YR - STACKABLE,19005,Deal Registration Eligible Any Value,19005,S,0,Stackable Support Licenses for E-Class SRA Appliances
01-SSC-2173,N/A,0,0,24X7 SUPPORT FOR SRA EX9000 1000 USER 1 YR - STACKABLE,10394,Deal Registration Eligible Any Value,10394,S,0,Stackable Support Licenses for E-Class SRA Appliances
01-SSC-2174,N/A,0,0,24X7 SUPPORT FOR SRA EX9000 1000 USER 2 YR - STACKABLE,17670,Deal Registration Eligible Any Value,17670,S,0,Stackable Support Licenses for E-Class SRA Appliances
01-SSC-2175,N/A,0,0,24X7 SUPPORT FOR SRA EX9000 1000 USER 3 YR - STACKABLE,24945,Deal Registration Eligible Any Value,24945,S,0,Stackable Support Licenses for E-Class SRA Appliances
01-SSC-2176,N/A,0,0,24X7 SUPPORT FOR SRA EX9000 2500 USER 1 YR - STACKABLE,13985,Deal Registration Eligible Any Value,13985,S,0,Stackable Support Licenses for E-Class SRA Appliances
01-SSC-2177,N/A,0,0,24X7 SUPPORT FOR SRA EX9000 2500 USER 2 YR - STACKABLE,22376,Deal Registration Eligible Any Value,22376,S,0,Stackable Support Licenses for E-Class SRA Appliances
01-SSC-2178,N/A,0,0,24X7 SUPPORT FOR SRA EX9000 2500 USER 3 YR - STACKABLE,29369,Deal Registration Eligible Any Value,29369,S,0,Stackable Support Licenses for E-Class SRA Appliances
01-SSC-2179,N/A,0,0,24X7 SUPPORT FOR SRA EX9000 5000 USER 1 YR - STACKABLE,16366,Deal Registration Eligible Any Value,16366,S,0,Stackable Support Licenses for E-Class SRA Appliances
01-SSC-2180,N/A,0,0,24X7 SUPPORT FOR SRA EX9000 5000 USER 2 YR - STACKABLE,27822,Deal Registration Eligible Any Value,27822,S,0,Stackable Support Licenses for E-Class SRA Appliances
01-SSC-2181,N/A,0,0,24X7 SUPPORT FOR SRA EX9000 5000 USER 3 YR - STACKABLE,39278,Deal Registration Eligible Any Value,39278,S,0,Stackable Support Licenses for E-Class SRA Appliances
01-SSC-2185,N/A,0,0,24X7 SUPPORT FOR SRA EX9000 10000 USER 1 YR - STACKABLE,19000,Deal Registration Eligible Any Value,19000,S,0,Stackable Support Licenses for E-Class SRA Appliances
01-SSC-2186,N/A,0,0,24X7 SUPPORT FOR SRA EX9000 10000 USER 2 YR - STACKABLE,32300,Deal Registration Eligible Any Value,32300,S,0,Stackable Support Licenses for E-Class SRA Appliances
01-SSC-2187,N/A,0,0,24X7 SUPPORT FOR SRA EX9000 10000 USER 3 YR - STACKABLE,45600,Deal Registration Eligible Any Value,45600,S,0,Stackable Support Licenses for E-Class SRA Appliances
01-SSC-2191,N/A,0,0,24X7 SUPPORT FOR SRA EX9000 20000 USER 1 YR - STACKABLE,25100,Deal Registration Eligible Any Value,25100,S,0,Stackable Support Licenses for E-Class SRA Appliances
01-SSC-2192,N/A,0,0,24X7 SUPPORT FOR SRA EX9000 20000 USER 2 YR - STACKABLE,42670,Deal Registration Eligible Any Value,42670,S,0,Stackable Support Licenses for E-Class SRA Appliances
01-SSC-2193,N/A,0,0,24X7 SUPPORT FOR SRA EX9000 20000 USER 3 YR - STACKABLE,60240,Deal Registration Eligible Any Value,60240,S,0,Stackable Support Licenses for E-Class SRA Appliances
01-SSC-2231,N/A,A9613469,0,SMA 200 WITH 5 USER LICENSE,1250,Y,1250,H,0,0
01-SSC-2232,N/A,0,0,SMA 200 ADDITIONAL 5 CONCURRENT USERS,250,Y,250,S,0,0
01-SSC-2233,N/A,0,0,SMA 200 ADDITIONAL 10 CONCURRENT USERS,395,Y,395,S,0,0
01-SSC-2234,N/A,0,0,SMA 200 24X7 SUPPORT FOR UP TO 25 USERS (1 YR),295,Y,295,S,0,0
01-SSC-2235,N/A,0,0,SMA 200 24X7 SUPPORT FOR UP TO 50 USERS (1 YR),445,Y,445,S,0,0
01-SSC-2236,N/A,0,0,SMA 200 24X7 SUPPORT FOR UP TO 25 USERS (2 YR),500,Y,500,S,0,0
01-SSC-2237,N/A,0,0,SMA 200 24X7 SUPPORT FOR UP TO 50 USERS (2 YR),755,Y,755,S,0,0
01-SSC-2238,N/A,A9613470,0,SMA 200 24X7 SUPPORT FOR UP TO 25 USERS (3 YR),755,Y,755,S,0,0
